price,volume
100.305182,38007.732009
99.267429,31510.433519
100.015185,16518.031918
100.960331,12076.281697
99.009650,6729.044692
97.728725,17722.703794
97.853742,57998.127522
97.544775,26211.504819
97.528388,17609.099872
96.699966,26530.016891
97.554094,11797.190145
98.315820,19556.649881
98.380760,22920.591765
99.496023,21280.783029
99.962265,30221.910353
99.106977,25282.256144
99.473109,28776.961764
98.523837,16724.852856
99.393133,31543.605318
99.343522,42259.090908
99.160043,14942.132590
98.487127,15443.164198
99.698563,37583.249366
99.544618,20403.513703
99.119153,38620.115893
98.770735,18453.064168
99.297902,39419.591997
99.661444,23215.938515
100.073630,24423.267167
100.505698,41187.381274
102.681391,19058.944712
102.264925,15116.636354
101.742420,18408.620085
100.917827,26395.097741
101.541379,11774.557883
102.694248,28423.977925
102.577297,17756.225627
101.719098,34861.036934
100.883891,8453.162224
101.542374,16080.677742
102.299903,11219.546277
102.857061,15827.563327
102.174810,24320.292434
102.412296,20502.648457
102.531867,19903.462139
102.756338,20667.672664
103.655699,23893.346170
103.887728,14714.454416
104.595435,29223.833070
104.666144,28711.883870
104.969192,25694.061524
105.633946,27518.488782
104.105855,24799.213063
103.773590,49713.376517
103.286614,21272.327563
102.628842,19480.450684
102.346855,16294.598766
103.888374,14575.465249
102.992759,13389.301680
103.994859,15436.360466
102.259405,21412.450852
101.917526,25177.802985
102.083535,22481.697741
102.683729,16216.522178
103.416646,31573.512170
104.240362,29606.969507
103.877483,20663.841761
103.398312,16963.742345
104.289262,27429.412576
104.089942,23746.476368
102.770515,12341.823972
101.612405,21435.589869
100.682409,24460.487140
101.184209,15369.219975
101.328424,23764.243527
102.030503,12308.815671
101.595505,37589.289685
101.756702,36285.735951
102.395277,19910.311977
102.079010,25473.188207
102.546349,8400.371531
101.869809,13869.686855
101.500638,19584.396514
101.113910,14344.857455
99.911951,29312.185416
100.399681,48967.819297
99.929507,13757.702282
99.941993,15756.600540
100.423617,24201.728793
100.873043,41958.925707
101.546475,13508.174166
101.446516,24333.625760
101.018002,45639.075176
100.937504,11376.400314
99.248640,13194.723809
97.822742,18593.314459
96.537361,17885.840314
95.579429,30486.538823
95.962296,24261.933731
95.097300,10829.348445
94.738356,27069.533819
95.977255,17483.003249
95.635931,36672.369901
96.343868,17136.483118
95.448570,17074.713182
95.252684,27349.475883
94.352048,29886.752259
94.032705,26350.426652
94.826198,11223.455102
93.202311,27315.614462
93.608085,14563.545174
93.830889,24200.061286
93.275046,12462.834144
91.935941,26331.701145
92.002277,15952.334135
91.516419,13186.464158
91.729604,29305.428609
91.749651,24261.786237
93.231111,17230.033597
93.008224,39358.669200
92.061142,18466.970396
92.226333,22311.177601
92.429452,24527.871914
93.694318,17190.868598
94.480046,26594.361998
94.817820,17794.043779
96.215493,18682.539893
95.078490,37989.194991
94.472166,14527.019076
93.600852,8390.772487
93.236697,41955.918980
91.961916,61067.261367
92.547872,18730.196636
92.342437,10150.363369
90.994198,19453.969381
90.074757,19643.677702
90.357597,20415.107380
91.118091,14110.080969
92.955759,27773.134763
95.704211,27168.213569
96.101641,12115.461818
95.155368,29134.510918
93.148086,50064.827408
93.397788,23594.859110
92.641597,19246.219584
92.257601,20810.203832
91.694620,28172.531073
91.565613,11022.912696
92.546906,23523.525422
92.692363,18841.448326
92.545438,46125.905158
91.591933,20544.137645
90.070831,42922.654586
89.633873,14164.636086
89.585679,27858.785871
91.183574,25028.240981
91.302440,15558.791084
92.204129,23646.217531
91.744905,35775.104832
90.664195,19350.689256
89.793389,11194.915045
89.144539,21872.269256
91.062291,15352.456336
90.317381,19207.644399
91.077866,21319.232789
90.259201,11133.781162
91.103960,11541.871065
91.455341,26710.892880
91.312200,17870.606042
91.274986,7895.926427
90.679281,30149.921987
91.084680,24561.805714
90.671201,16555.109601
89.566711,13007.324691
88.429387,30770.852040
88.582138,25329.886168
89.992033,57127.501266
90.136128,26057.878511
90.029255,25721.468092
90.286950,20603.759290
